232,Муниципальные финансы
233,Уравнения математической физики
234,Нечеткие экспертные системы
235,Нечеткие множества
236,НИС
237,Теория вероятностей и математическая статистика
238,Уравнения математической физики
239,Теория функций действительного и комплексного переменного
240,Теория вероятности и математическая статистика
241,Основы вариационного исчисления
242,Теория вероятностей и математическая статистика
243,ООП и С++
244,Геометрия
245,Математический анализ
246,Числа Фибоначчи и рекуррентные соотношения
247,Математическая логика и теория алгоритмов
248,Уравнения в частных производных
249,История и мет. механики
250,Аппаратно-программное обеспечение образовательного
251,Средства СПО для обработки графических изображений
254,Курс профилизации: численное решение задач прикладной математики
255,Курс профилизации: численное решение задач прикладной математики
256,Методика преподавания информатики в системе непрерывного образования
257,Специальные функции
258,Теория и методика математического образования
259,Математический анализ
260,Базы данных
261,Дифференциальные уравнения
262,Современные компьютерные технологии
263,Математические модели естественных наук
264,Приложения математических методов к решению геометрических задач
265,Интеллектуальные системы
266,Теория вероятностей и математическая статистика
267,История математики и математического образования в России
268,Компьютерное моделирование в научных исследованиях
269,Современные проблемы ПМ и М
270,Математические основы защиты информации
271,Практикум на ЭВМ
272,Компьютерный практикум по механике (Методы конечных и граничных  элементов в механике)
273,Современные проблемы механики
274,"Проектирование, разработка и использование информационно-образовательных сред"
275,Функциональный анализ
276,Проблемы становления и развития государства и права Польши
277,Современные БД
280,Методология дидактических исследований в информатике
281,Гражданский процесс
282,Алгоритмы и ППП для суперкомпьютеров
284,Элементы гармонического анализа
285,Курс профилизации: процедурно и объектно-ориентированное программирование на С++
287,Многопоточное программирование на Джава
288,Информационные технологии: система Латех2е
290,Элементы гармонического анализа
291,Обратные задачи в биомеханике
292,Дискретные математические модели
293,Дискретные математические модели
294,Модели защиты информации
295,Некоммутативные коды
296,Теория информации
297,КСЕ
298,Платформа .НЕТ
299,Прикладные задачи математической физики
301,СУБД ОРАКЛ
302,Задачи оптимального управления
303,Уравнения Коши-Римана
304,Теория вероятности и математическая статистика
305,Теория вероятности и математическая статистика
306,Методы анализа и синтеза оптимальных конструкций
307,Экспериментальные методы в МСС
308,Базы данных
309,Асимптотические методы
310,Геометрические методы математической физики
311,Курс по выбору 3
312,Аналитическая геометрия
313,"Методика обучения математике в старшей, профильной и в высшей школе"
314,Уравнения с частными производными
315,Дополнительные главы алгебры
316,Элементы гармонического анализа
318,Фи-теория
319,Прикладные задачи математической физики
320,Фи-теория
