studentid,semesterid,gradenum,groupnum,specname,facultyabbr,disciplineid,ExamType,SemesterRate,BonusRate,ExamRate
9,4,2,1,Прикладная математика и информатика,ИММиКН,1728,exam,39,0,22
9,4,2,1,Прикладная математика и информатика,ИММиКН,1824,credit,64,0,0
9,5,3,1,Прикладная математика и информатика,ИММиКН,1830,credit,0,0,0
9,5,3,1,Прикладная математика и информатика,ИММиКН,1870,credit,0,0,0
9,5,3,1,Прикладная математика и информатика,ИММиКН,1892,exam,38,0,26
9,5,3,1,Прикладная математика и информатика,ИММиКН,1897,credit,60,0,0
9,5,3,1,Прикладная математика и информатика,ИММиКН,1918,credit,60,0,0
9,5,3,1,Прикладная математика и информатика,ИММиКН,1981,exam,44,0,22
9,5,3,1,Прикладная математика и информатика,ИММиКН,2004,credit,24,0,0
9,5,3,1,Прикладная математика и информатика,ИММиКН,2014,credit,0,0,0
9,5,3,1,Прикладная математика и информатика,ИММиКН,2033,exam,38,0,22
9,5,3,1,Прикладная математика и информатика,ИММиКН,2075,credit,0,0,0
9,5,3,1,Прикладная математика и информатика,ИММиКН,2103,credit,60,0,0
9,5,3,1,Прикладная математика и информатика,ИММиКН,2137,credit,0,0,0
9,5,3,1,Прикладная математика и информатика,ИММиКН,2156,credit,32,0,0
9,6,3,1,Прикладная математика и информатика,ИММиКН,2245,exam,0,0,0
9,6,3,1,Прикладная математика и информатика,ИММиКН,2322,exam,0,0,0
9,6,3,1,Прикладная математика и информатика,ИММиКН,2341,credit,0,0,0
9,6,3,1,Прикладная математика и информатика,ИММиКН,2346,credit,0,0,0
9,6,3,1,Прикладная математика и информатика,ИММиКН,2373,credit,17,0,0
