ID,Name,Abbr
163,Средства СПО для обработки графических изображений,
164,Теоретико-методологическое обоснование изучения числовых систем в школьном курсе математики,
165,Теоретические основы информатики,
166,Теоретические основы школьного курса информатики,
167,Теория вероятностей и математическая статистика,
168,Теория и методика математического образования,
169,Теория функций действительного и комплексного переменного,
170,Технологии ресурсного обеспечения информационно-образовательного пространства,
171,Уравнения в частных производных,
172,Цифровые образовательные ресурсы в обучении математики: методика использования и технологии разработки,
173,Числа Фибоначчи и рекуррентные соотношения,
174,Элементарная математика и ПРМЗ,
175,История отечественного государства и права,
176,История государства и права зарубежных стран,
177,Теория государства и права,
178,Римское частное право,
179,Основы истории политических и правовых учений,
180,Латинский язык,
181,Юридическая логика,
182,Трудовое  право,
183,Административное право,
184,Конституционное право,
185,Гражданское право,
186,Уголовное право (Общая),
187,Права человека,
188,Уголовное право,
189,Международное право,
190,Гражданский процесс,
191,Уголовный процесс,
192,Семейное право,
193,Земельное право,
194,Криминалистика,
195,Профессиональная этика,
196,Криминология,
197,Арбитражный процесс,
198,Юридически лица как субъекты гражданского права,
199,Уголовная политика,
200,Источники (государственного) конституционного права,
201,Гражданско-правовые обязательства и способы их обеспечения,
202,Современное пенитенциарное право,
203,Муниципальная власть в РФ,
204,Актуальные проблемы жилищного права,
205,Европейские стандарты в уголовном процессе,
206,Конституционное судебное право и судебный процесс,
207,Неисковые производства,
208,Конституционная юстиция как гарант прав местного самоуправления,
209,Зарубежное и международное уголовное право,
210,История спецслужб,
211,Профессиональная юридическая деятельность,
212,Основы квалификации преступлений,
213,Медицина и уголовный закон,
214,Выборы и становление многопартийности,
215,Защита гражданских прав,
216,Участие прокурора в рассмотрении уголовных дел,
217,Муниципальные финансы,
218,Проблемы становления и развития государства и права Польши,
219,Доказывание и доказательства в гражданском и арбитражном процессе,
220,Конкурентное право,
221,Правовое регулирование строительной деятельности,
222,Актуальные проблемы вещного права,
223,Приложения функционального анализа в МСС,Прил функ ан в МСС
224,Основы механики стенок кровеносных сосудов,
225,Нелинейные задачи теории упругости,Нелин зад теор упр
226,Теория бифуркаций для задач гидродинамики,
