ID,Name,Abbr
749,Практикум на ЭВМ (компьютерные сети),КС практикум
750,История и методология механики,ИММ
751,Методика написания магистерской диссертации,метод
752,Разработка мобильных приложений для систем Android,Моб.прил-я
753,Теоретические и практические проблемы семейного права,теорети
754,Основные теоретические и методологические проблемы гражданского права,основ
755,Сделки: проблемы теории и правоприменения,сделки
756,Имущество в системе объектов гражданских прав,имцщество
757,Правовое регулирование сделок с объектами природопользования,правовое
758,Цивилистическая теория защиты прав,цивил
759,Психологические основы гражданско-правового регулирования,психолог
760,Актуальные проблемы уголовно-исполнительного права,актуал
761,Уголовное право зарубежных стран,уголов
762,Основные концепции криминологической науки,основные
763,Восстановительное правосудие и альтернативы уголовной ответственности,восстановит
764,Влияние решений Европейского Суда на уголовное судопроизводство,влияние
772,Методы исследования устойчивости уравнений матфизики,
779,Теория бифуркаций для уравнений в частных производных,
784,Методика обучения информатике,МОИ
790,Методика обучения информатике в начальной школе и дошкольных образовательных учреждениях,МОИ в нач.школе
792,Программирование на C и C++,"Прогр. С,С++"
794,Распределенные базы данных,Распр. БД
796,Визуализация контента образовательной сети,Визуал.обр.среды
797,Инновационная компьютерная дидактика,Иннов.комп.дидакт.
800,Моделирование системы проектно-исследовательской деятельности педагога и обучающихся,МСП-ИД
802,Цифровая обработка изображений,ЦОИ
803,Философия и методология науки,ФиМН
804,Актуальные теоретические и методологические проблемы гражданского права,актуал
805,Управляемые диффузионные процессы и финансы,Упр.диффуз-е проц. и
806,Стохастическое интегрирование,Стох-е интегрир.
807,Современное уголовное законодательство и практика его применения,соврем
808,Актуальные проблемы уголовного права (ч.2),Актуал
809,Информационные системы поддержки принятия решений,ИСППР
810,виктимология,вик
811,Политико-правовые ценности России,Полит
812,Экономическая политика в сфере информационных технологий,ЭП в сфере ИТ
813,"Modern computer technologies
Web/XML-технологии
Анализ программного кода 1
Анализ программного кода (КН)
Архитектура вычислительных систем
Архитектура компьютеров (1 поток)
Архитектура компьютеров (2 ",
814,Введение в UNIX-подобные OC,введение в unix
815,Теория языков программирования,ТЯП
816,Математическая логика и дискретная математика,МЛ и ДМ
817,Разработка приложений для мобильных телефонов,РПМТ
818,Дискретные модели системного анализа,ДМСА
819,Дифференциальные уравнения и их системы,ДУ и ИС
820,"Генетические алгоритмы, нейронные сети и моделирование в MatLab",ГАиНСиМ
821,История физики,История физики
822,Вычислительная гидроаэродинамика,ВГАД
823,Распараллеливающие преобразования программ и разработка многоплатформенного ПО,РПП и РМПО
824,Обратные задачи в естествознании,ОЗ в естествознании
827,Введение в проектную деятельность.Проект 1.,Проект 1
828,Современные методы защиты информации,СМЗИ
829,Стохастическое моделирование и методы обработки данных,СМиМОД
831,Информационно-коммуникационные технологии в образовании,ИКТвО
832,Администрирование серверных систем на базе Windows,АСС Windows
833,Стохастический анализ,Стохастический анали
834,Технологические вопросы внедрения 1С,ТВВ 1С
835,1С: Бухгалтерия,1С: Бухгалтерия
836,1С: Бухгалтерские объекты,1С БО
837,Адаптация 1С,Адаптация 1С
838,юридические лица,юрид
839,Ювенальное уголовное право,ювенал
840,Преступления в сфере здравоохранения,преступ
842,"Оказание медицинской помощи: уголовно-правовые, уголовно-исполнительные и криминологические аспекты",Оказание
843,Экономические и коррупционные преступления,Эконом
844,Ювенальное уголовное право и правосудие с участием несовершеннолетних,ювенал
845,Экспертиза бухгалтерской (финансовой) отчетности по уголовным делам,экспертиза
846,Mobile Development,Mob_Dev
847,Актуальные проблемы уголовного права,Актуал
848,Актуальные проблемы уголовного процесса,Актуальные
849,Проблемы жилищного и наследственного права,Проблемы
850,Ораторское искусство,оратор
851,Прокуратура и прокурорская деятельность,прокуратура
852,Судопроизводство в мировых судах,судопроиз
853,Государственная власть и проблемы исскуства,Государственн
854,Введение в проектную деятельность,введение
855,Антикоррупционная политика,антикор
856,Внешне-экономические сделки,внешне
857,Внешнеэкономические сделки,Внешнеэкономически
858,психология деловых и межличностных коммуникаций,психо
859,Денежная система и валютное законодательство,денежная
860,Международное торговое право,международ
861,Международная преступность и международное уголовное право,международ
862,Технико-криминалистиченское обеспечение следствия,технико
863,Экономико-правовой модуль,ЭПМ
864,Теория игр и приложения,ТИ
865,Введение в компьютерную алгебру,ВКА
866,"Cross-platform Applications Development
CS101. Основы программирования","CS101
CS104. Непреры"
867,Cross-platform Applications Development,CS101. Основы програ
870,CS101. Основы программирования,CS101
871,CS104. Непрерывная математика,CS104
872,CS201. Математическая логика,CS201
873,CS203. Теория алгоритмов,CS203
874,CS207. Математические основы защиты информации,CS207
875,CS211. Язык программирования C++,CS211
876,CS221/223. Архитектура компьютера и операционные системы,CS221/223
877,Quantum Computing,QC
878,Алгоритмы общей алгебры и теории чисел,
880,Квантовые вычисления,
882,Методы решения задач школьного курса геометрии,МРЗ ШКГ
883,Технология историзации школьного математического образования,Тех.ист.шк.матобраз.
885,Компьютерная безопасность и анализ программного кода,Комп.без.
886,Криптографические протоколы,Крипт.прот.
891,Алгебраические и дискретные структуры информатики,Ал.и диск. с.и.
893,Компьютерная безопасность,ком.без.
896,Численные методы обработки данных,ЧисМОД
904,Компьютерные сети (практикум),к.с.
905,курс профилизации: асимптотические методы,ас.м.
906,курс профилизации: криптография,крип.
907,курс профилизации: обобщённые функции,обобщ.ф.
908,курс профилизации: помехоустойчивое кодирование,пом.к.
916,Платформа. NET,пл.NET
917,Программирование ускорителей параллельных вычислений,Пр.усп.в.
921,Стандартная библиотека С++,С++
928,Создание интерфейсов для решения задач математической физики,Соз.инт.
932,Конфигурирование и программирование в системе «1С: Предприятие»,Конф. и пр.в 1С
933,Advanced problems of Mathematical physics,A.p.of M.p.
943,курс профилизации: защита в сетях,Защ.в с.
944,курс профилизации: разработка корпоративных приложений,Р.к.п.
947,Курс профилизации: Избранные главы математического анализа,Избр.г.м.а.
948,"Дисциплины по выбору из корзины (""Maple"")",Maple
949,Latex,Latex
950,Курс профилизации: Целые функции,Цел.ф.
951,Курс профилизации: Целые функции 2,Цел.ф.2
952,Maple,Maple
953,Реализация функциональных пространств,Реал.ф.п.
954,Краевые задачи,кр.з.
955,Теория изгибаний,Теор.и.
958,"Дисциплины по выбору из ""корзины""(Информационные технологии)",Дисц.п.в.
959,Курс профилизации:геометрическая теория многогранников,геом.мн.
962,Дополнительные главы спектральной теории операторов,спект.т.
963,Операторы типа потенциала,опер.т.п.
964,курс профилизации: пространство гладких функций,прост.г.ф.
965,курс профилизации: интегральные уравнения,интег.у.
967,Контактные задачи,Кон.з.
969,Экспериментальные методы в механике деформируемого твердого тела,Эксп.метод.в м.д.т.т
974,Математические методы в механике сплошной среды,Мат.м.в м.спл.с.
976,"Математические методы в механике сплошной среды, ч.II",Мат.м.в м.спл.с.2
977,Приложение функционального анализа в механике сплошной среды,Прил.фун.ан.в мсс
983,Разработка мобильных приложений для системы Android,Раз.м.прил.And.
984,Моделирование сложных систем,Мод.с.с.
985,Корпоративные информационные системы,Кор.и.с.
987,"Дополнительные главы спектральной теории операторов,Доп.г.с.т.о.",
988,"Операторы типа потенциала,о.т.п.",
989,"Пространства гладких функций,Пр.г.ф.",
991,Математическая физика,Мат физ
997,Экспериментальные методы в гидроаэромеханике,Экс.м. в гид.
1000,Механика сплошных сред,М.С.С.
1003,Курс профилизации:компьютерное моделирование потоков,ком.м.п.
1005,Научно-исследовательский семинар по классической механике,НИСпо кл.мех.
1006,Асимптотические и численные методы в гидроаэродинамике,Асс.ичис.мет.в гидр.
1007,Волны в сплошных средах,Вол.вСС
1008,Научно-исследовательский семинар по проблемам МЖГ,НИС по пр.МЖГ
1009,Распределенные информационные системы,РИС
1010,международное уголовное право,межд
1011,Информатика и ИКТ,И и ИКТ
1012,Информационные технологии в образовании,ИТ в обр.
1013,Конфигурация информационной образовательной среды,КИОС
1014,Актуальные проблемы интеллектуальной собственности,Актуал
1017,Пакеты компьютерной алгебры,ПКА
1018,Математический аппарат и базовые модели структурного анализа,Ма и бмса
1020,Методы биоинформатики в задачах идентификации и управления,метод био в зад.
1021,Оптимизация и обратные задачи в структурном анализе,оптим. и обр.зад. ст
1022,Аппаратные и программые средства,А и Пр. ср.
1023,корпоративная теория игр,ктр
1024,Моделирование наноматериалов и тонкостенных конструкций,МНМиТК
1027,Компьютерное зрение и обработка изображений,Комп. зрение и обр. 
1028,этические и информационные основы юриспруденции,этическ
1029,информационные технологии в юриспруденции,инфор
1030,Криминология уголовного закона,крими
1031,Актуальные проблемы обязательственного права,актуал
1032,Модуль проектной деятельности,МПД
1033,Жилищное право,жилищ
1034,Проблемы теории и практики современного гражданского права,проблемы
1035,Злоупотребления в банкротстве: гражданско-правовой и уголовно-правовой  аспекты,злоупот
1036,Проблемы интеллектуальной собственности. Защита интеллектуальных прав,Проблемы
1037,Введение в юридическую профессию,введение
1038,Statistical Modeling and Data Processing,SMDP
1039,Проект 1,Проект 1
1040,Проект 2,Проект 2
1041,Проектная деятельность.Проект 2,Проект 2
1042,Проект2,Проект 2
1043,Элементы компьютерной математики в школе,Элементы КМ в школе
1044,Автоматизация торгового предприятия на базе 1С,АвтоматизацияТП в 1С
